"res_1_min","res_2_min","res_3_min","res_4_min","res_5_min","res_6_min","res_7_min","res_8_min","res_9_min","res_10_min","upper_weber_stor_min","upper_ogden_stor_min","lower_stor_min","total_res_min","current_res_min","moderate_max","severe_max","extreme_max","SA1_max","SA2_max","SA3_max","SA4_max","SA5_max","SA6_max","SA7_max","SA8_max","SA9_max","SA10_max","SA11_max","SA12_max","SA13_max","SA14_max","SA15_max","SA16_max","SA17_max","SA18_max","SA19_max","SA20_max","upper_weber_short_max","upper_ogden_short_max","lower_short_max","system_max","k_2","k_3","k_4","k_5","k_6","k_7","k_8","k_9","k_10","k_11","k_12","k_13","k_14","k_15","k_16","k_17","k_18"
750.9999998,46733.59507,4079.886394,17628.95253,22207.64696,1000,9.999998897,157752.4364,Inf,Inf,92184.19684,1009.999998897,157752.4364,259146.17323865,259146.17323865,0,0,0,-Inf,1273.591556,0,0,0,0,256.76984,0,0,0,0,4399.343401,2488.790023,4806,0,0,0,0,0,-Inf,1273.591556,9982.856001,0,9982.85600100001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6335.504858,50106.03144,28964.51715,18770.30583,28528.415,1000,9994.211378,195692.3606,Inf,Inf,132962.484501,10994.211378,195692.3606,339649.056479,339649.056479,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2990.108306,0,0,0,0,0,0,0,-Inf,0,2990.108306,0,2990.10830599999,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
7155.296972,52893.07287,42344.66413,19848.7049,34622.66487,1000.000001,41931.7923,216646.4988,Inf,Inf,156864.403742,42931.792301,216646.4988,416442.694843,416442.694843,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,1632.114466,0,0,0,0,0,0,0,-Inf,0,1632.114466,0,1632.114466,1,1,1,1,1,1,1,1,10,10,12,12,12,12,12,12,12
3888.295381,48266.69883,21641.33381,18339.44028,24432.55532,1000,9.999998897,170750.6427,Inf,Inf,118142.48925,1009.999998897,170750.6427,293707.14414705,293707.14414705,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4314.459217,0,1951.409071,0,0,0,0,0,-Inf,0,4488.418957,0,4488.418957,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
751.0000044,44907.39421,692.4603601,17487.07714,18675.9069,1000,9.999998897,131790.9587,Inf,Inf,83007.581773,1009.999998897,131790.9587,221043.28381705,221043.28381705,0,0,0,-Inf,1423.079713,0,0,0,0,9.59893800000009,0,0,0,0,4758.250392,3371.209029,4806,0,0,0,0,0,-Inf,1432.678651,11127.116428,0,11127.116428,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
975.831582,45802.37761,1060.195801,17566.12773,19893.4205,1000,9.999998897,181898.8757,Inf,Inf,85506.203175,1009.999998897,181898.8757,268415.078873897,268415.078873897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4642.26227,0,3681.170707,0,0,0,0,0,-Inf,0,6534.792257,0,6534.79225699999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2693.027267,47205.01369,15411.65634,18155.53659,23940.95489,1000,9.999998897,179347.6661,Inf,Inf,107663.454722,1009.999998897,179347.6661,297142.71511305,297142.71511305,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4447.838807,263.7788733,267,0,0,0,0,0,-Inf,0,4447.838807,0,4447.83880699999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6928.672968,50700.20863,34470.76523,19410.34523,30144.94426,1000,14268.60485,197946.3491,Inf,Inf,141923.85765,16533.153208,197946.3491,363778.177689,363778.177689,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,2501.535923,0,0,0,0,0,0,0,-Inf,0,2501.535923,0,2501.535923,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10
2253.419183,45571.05829,5156.697408,17304.49763,14630.2457,1000,9.999998897,138180.8713,Inf,Inf,90102.803276,1009.999998897,138180.8713,234712.962370897,234712.962370897,0,0,0,-Inf,0,0,0,0,0,0,0,0,0,0,4574.036267,3143.426849,4806,0,0,0,0,0,-Inf,0,10985.692979,0,10985.692979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
751,35407.95396,9.999999988,15319.1292,11812.01424,1000,7.621144618,60313.10505,Inf,Inf,63300.097399988,1007.621144618,60313.10505,131367.58455698,131367.58455698,37272.944695394,0,0,-Inf,5945.043304,0,0,0,0,1320,2040,0,0,0,4923.462719,5848,4806,0,0,0,0,0,-Inf,7265.043304,13920.161006,0,15795.674661,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7
