"","M_1","M_2","M_3","M_4","M_5","M_6","M_7","M_8","M_9","M_10","M_11","M_12"
"PC3.-1",0.0517696356013302,0.0922001887536325,0.0859544395661015,0.0248514105155212,0,-0.0831136945469961,-0.11980229785095,-0.0742726767558063,-0.016163681461639,0,0,0
"PC3.0",0,0.0419988762484695,0,0.00875566651219321,0.170486737517521,0,0,0,0.0224316931528398,0.0952179556124702,0.123878702528127,0.115142190896672
"PC3.1",0.0598538893529756,0.0344087683784161,0.0222249394476004,0.0221930713629886,0.0286971961356768,0,0,0.0432705075135001,0.0172396197894785,0.0552457425245794,0.0241689973184652,0.108029151608904
"PC4.-1",0,0.0150677321159707,0,-0.0260635131523141,0,0,0,0,0.0157317528250267,-0.0030237789265561,0,0
"PC4.0",0,-0.0208276368364627,0,0.024143788552462,0,0.0113759145734826,0.0417884532728365,0.0794460547758857,0.0536656962188143,0,0,0
"PC4.1",0,-0.00702735276484782,0,-0.00281913665744082,0,0,0,0,0.003142289624684,0,0,-0.033343679994616
"PC5.-1",0,-0.032788395929721,0,-0.0272826851853318,0,0,0,0.0863171627013719,0.0550612720312564,-0.0300748960788869,0,-0.00306355095828715
"PC5.0",0,-0.0232758988464114,0.0181063046341481,-0.0115407444602914,0,0,0.0463467634657032,0.0386271249047307,0.0632395832702448,0,0,0
"PC5.1",0,0.00825272946674728,0,-0.0115994753637424,-0.089491080064701,0,0,0,-0.00773321291771995,0,0,0
"PC6.-1",0.0301386476458603,0.0724864766771311,0.0708872511386838,0.0209761803183809,0.00590213158251633,0,0,0,0.00703483582572674,0.108598736829713,0.091026917942319,0.133128653114734
"PC6.0",0.10325470374493,0.10032546822586,0.0580260480150347,0.0237642494936842,-0.0178127593759773,0,0,0,-0.0112564487001147,0,0,0
"PC6.1",0,-0.00459951638469883,0,-0.00454412145095109,0,0,0,0,0.0430044448144975,0.0846716341311078,0.132119481437343,0.0948865306632224
"PC7.-1",-0.101483244371857,-0.128318144043667,0,-0.00935848969744216,0,0,0.0428999070069742,0,0.0149843361514632,-0.0598463895970065,-0.145564279520239,-0.151299173498992
"PC7.0",-0.148958703521752,-0.134961850054529,-0.129917387565394,-0.0216676831767119,-0.0826596967400321,-0.152413236009245,-0.0885518260960208,-0.150983324894713,-0.0588681656686161,0,-0.00220603634082189,0
"PC7.1",0,-0.016962405794326,-0.00367664018036915,-0.014263286233433,0,0,-0.0365388881595388,0,-0.0231713434108557,0,0,0
"PC8.-1",0,-0.0439482571364288,0,0.0375029072671658,-0.0259074314482578,-0.07355046121561,-0.00293277731199988,0,0.0199210839305901,0,0,-0.039891917496169
"PC8.0",0,-0.019380513754727,-0.0534872413659081,-0.072037630499802,0,0,0,0.0569874699583492,0.0612262171815539,0,0,0.0389313927263887
"PC8.1",0,0.0814513875822015,0,-0.00438322551980688,0.096632892664025,0,0.0109457265594254,0,-0.0566969297198481,0,-0.00242997962294538,-0.0559048773242863
"PC9.-1",0,0.0413814587959626,0.0694062540024335,-0.00935798533368479,0,0,0,0,-0.0460341567191251,0,0.0527686782889506,0.0430596018337688
"PC9.0",0.0741205252229724,0.0538837000438305,0.0793243912134875,0.0373420148193187,0.21347068021644,0.0344290255717891,0,0.0176929979980368,0.0575710185074491,0,0,0.00735650331791316
"PC9.1",0.00316512742312773,0.107501382960206,0,-0.0574769640776878,-0.01540001021888,0,0.0230241956374869,0.0595715267880937,0.101575589764739,0.058038552265298,0.0413972123000592,0.0362424344136651
