"","water_year","month","year","annual_recon","annual_norm","norm_est","flow_est"
"2797",1661,1,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.05496387330734
"2798",1661,2,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.09463501640493
"2799",1661,3,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.08411349394772
"2800",1661,4,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.98482719465081
"2801",1661,5,1661,3.559673436,-1.72527405686565,-1.72527405686565,9.55777007602252
"2802",1661,6,1661,3.559673436,-1.72527405686565,-1.72527405686565,6.76718891002569
"2803",1661,7,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.76699798087281
"2804",1661,8,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.51579117396017
"2805",1661,9,1661,3.559673436,-1.72527405686565,-1.72527405686565,1.10984757283739
"2806",1662,10,1661,6.077054736,0.102332501605644,0.102332501605644,2.10540902986387
"2807",1662,11,1661,6.077054736,0.102332501605644,0.102332501605644,1.87222323647598
"2808",1662,12,1661,6.077054736,0.102332501605644,0.102332501605644,1.63664220397365
"2809",1662,1,1662,6.077054736,0.102332501605644,0.102332501605644,1.53670804522851
"2810",1662,2,1662,6.077054736,0.102332501605644,0.102332501605644,1.53353565141299
"2811",1662,3,1662,6.077054736,0.102332501605644,0.102332501605644,1.82531788430796
"2812",1662,4,1662,6.077054736,0.102332501605644,0.102332501605644,4.82267598229371
"2813",1662,5,1662,6.077054736,0.102332501605644,0.102332501605644,18.8512519922233
"2814",1662,6,1662,6.077054736,0.102332501605644,0.102332501605644,22.2538349283658
"2815",1662,7,1662,6.077054736,0.102332501605644,0.102332501605644,6.33694653447453
"2816",1662,8,1662,6.077054736,0.102332501605644,0.102332501605644,3.12179331319795
"2817",1662,9,1662,6.077054736,0.102332501605644,0.102332501605644,2.33606145199804
"2818",1663,10,1662,4.94754624,-0.798043455968329,-0.798043455968329,1.54066098425247
"2819",1663,11,1662,4.94754624,-0.798043455968329,-0.798043455968329,1.49027101107737
"2820",1663,12,1662,4.94754624,-0.798043455968329,-0.798043455968329,1.31865494331499
"2821",1663,1,1663,4.94754624,-0.798043455968329,-0.798043455968329,1.2840873047598
"2822",1663,2,1663,4.94754624,-0.798043455968329,-0.798043455968329,1.30483939843198
"2823",1663,3,1663,4.94754624,-0.798043455968329,-0.798043455968329,1.42745130676247
"2824",1663,4,1663,4.94754624,-0.798043455968329,-0.798043455968329,3.20954176207464
"2825",1663,5,1663,4.94754624,-0.798043455968329,-0.798043455968329,13.7360938874909
"2826",1663,6,1663,4.94754624,-0.798043455968329,-0.798043455968329,13.0447758514864
"2827",1663,7,1663,4.94754624,-0.798043455968329,-0.798043455968329,3.58520675481032
"2828",1663,8,1663,4.94754624,-0.798043455968329,-0.798043455968329,2.23185021420147
"2829",1663,9,1663,4.94754624,-0.798043455968329,-0.798043455968329,1.65426617808032
"2830",1664,10,1663,5.138232918,-0.652598028785202,-0.652598028785202,1.62391042194272
"2831",1664,11,1663,5.138232918,-0.652598028785202,-0.652598028785202,1.54803095697996
"2832",1664,12,1663,5.138232918,-0.652598028785202,-0.652598028785202,1.36691664926318
"2833",1664,1,1664,5.138232918,-0.652598028785202,-0.652598028785202,1.32284486942704
"2834",1664,2,1664,5.138232918,-0.652598028785202,-0.652598028785202,1.34011369226753
"2835",1664,3,1664,5.138232918,-0.652598028785202,-0.652598028785202,1.48729896896489
"2836",1664,4,1664,5.138232918,-0.652598028785202,-0.652598028785202,3.44038363101368
"2837",1664,5,1664,5.138232918,-0.652598028785202,-0.652598028785202,14.489131616745
"2838",1664,6,1664,5.138232918,-0.652598028785202,-0.652598028785202,14.3094437772949
"2839",1664,7,1664,5.138232918,-0.652598028785202,-0.652598028785202,3.95865774227387
"2840",1664,8,1664,5.138232918,-0.652598028785202,-0.652598028785202,2.36209673319827
"2841",1664,9,1664,5.138232918,-0.652598028785202,-0.652598028785202,1.75375454048316
"2842",1665,10,1664,4.889949462,-0.84118717774934,-0.84118717774934,1.51653983487051
"2843",1665,11,1664,4.889949462,-0.84118717774934,-0.84118717774934,1.47342325403063
"2844",1665,12,1664,4.889949462,-0.84118717774934,-0.84118717774934,1.30456443956578
"2845",1665,1,1665,4.889949462,-0.84118717774934,-0.84118717774934,1.27273999024623
"2846",1665,2,1665,4.889949462,-0.84118717774934,-0.84118717774934,1.29449775663504
"2847",1665,3,1665,4.889949462,-0.84118717774934,-0.84118717774934,1.41001869402902
"2848",1665,4,1665,4.889949462,-0.84118717774934,-0.84118717774934,3.1431799080884
"2849",1665,5,1665,4.889949462,-0.84118717774934,-0.84118717774934,13.5179797926102
"2850",1665,6,1665,4.889949462,-0.84118717774934,-0.84118717774934,12.6852173249
"2851",1665,7,1665,4.889949462,-0.84118717774934,-0.84118717774934,3.47937128805571
"2852",1665,8,1665,4.889949462,-0.84118717774934,-0.84118717774934,2.1941833073888
"2853",1665,9,1665,4.889949462,-0.84118717774934,-0.84118717774934,1.62551692824952
"2854",1666,10,1665,5.816283483,-0.110776388374189,-0.110776388374189,1.96091584194937
"2855",1666,11,1665,5.816283483,-0.110776388374189,-0.110776388374189,1.77650027018348
"2856",1666,12,1665,5.816283483,-0.110776388374189,-0.110776388374189,1.55718852785329
"2857",1666,1,1666,5.816283483,-0.110776388374189,-0.110776388374189,1.47415481228959
"2858",1666,2,1666,5.816283483,-0.110776388374189,-0.110776388374189,1.47716087262173
"2859",1666,3,1666,5.816283483,-0.110776388374189,-0.110776388374189,1.72517011767432
"2860",1666,4,1666,5.816283483,-0.110776388374189,-0.110776388374189,4.40029120069419
"2861",1666,5,1666,5.816283483,-0.110776388374189,-0.110776388374189,17.5411534418578
"2862",1666,6,1666,5.816283483,-0.110776388374189,-0.110776388374189,19.7675151303982
"2863",1666,7,1666,5.816283483,-0.110776388374189,-0.110776388374189,5.58767093361901
"2864",1666,8,1666,5.816283483,-0.110776388374189,-0.110776388374189,2.89279762207769
"2865",1666,9,1666,5.816283483,-0.110776388374189,-0.110776388374189,2.16021652529936
"2866",1667,10,1666,3.982021491,-1.46777768196114,-1.46777768196114,1.19493277543169
"2867",1667,11,1666,3.982021491,-1.46777768196114,-1.46777768196114,1.24317735783464
"2868",1667,12,1666,3.982021491,-1.46777768196114,-1.46777768196114,1.11133299010857
"2869",1667,1,1667,3.982021491,-1.46777768196114,-1.46777768196114,1.11552774095867
"2870",1667,2,1667,3.982021491,-1.46777768196114,-1.46777768196114,1.15050128457104
"2871",1667,3,1667,3.982021491,-1.46777768196114,-1.46777768196114,1.17298912789076
"2872",1667,4,1667,3.982021491,-1.46777768196114,-1.46777768196114,2.28399718706157
"2873",1667,5,1667,3.982021491,-1.46777768196114,-1.46777768196114,10.6135927649134
"2874",1667,6,1667,3.982021491,-1.46777768196114,-1.46777768196114,8.22086926686304
"2875",1667,7,1667,3.982021491,-1.46777768196114,-1.46777768196114,2.18124525273849
"2876",1667,8,1667,3.982021491,-1.46777768196114,-1.46777768196114,1.69550179133637
"2877",1667,9,1667,3.982021491,-1.46777768196114,-1.46777768196114,1.24600733067359
"2878",1668,10,1667,5.128406919,-0.660186187314791,-0.660186187314791,1.61949298170768
"2879",1668,11,1667,5.128406919,-0.660186187314791,-0.660186187314791,1.54498062592729
"2880",1668,12,1667,5.128406919,-0.660186187314791,-0.660186187314791,1.36436964310764
"2881",1668,1,1668,5.128406919,-0.660186187314791,-0.660186187314791,1.32080354258604
"2882",1668,2,1668,5.128406919,-0.660186187314791,-0.660186187314791,1.33825765694652
"2883",1668,3,1668,5.128406919,-0.660186187314791,-0.660186187314791,1.48413525676058
"2884",1668,4,1668,5.128406919,-0.660186187314791,-0.660186187314791,3.42806617000314
"2885",1668,5,1668,5.128406919,-0.660186187314791,-0.660186187314791,14.449163603647
"2886",1668,6,1668,5.128406919,-0.660186187314791,-0.660186187314791,14.2414360534732
"2887",1668,7,1668,5.128406919,-0.660186187314791,-0.660186187314791,3.93853034002143
"2888",1668,8,1668,5.128406919,-0.660186187314791,-0.660186187314791,2.3551761904619
"2889",1668,9,1668,5.128406919,-0.660186187314791,-0.660186187314791,1.74846537373209
"2890",1669,10,1668,6.114065055,0.132536765864255,0.132536765864255,2.12644640827059
"2891",1669,11,1668,6.114065055,0.132536765864255,0.132536765864255,1.88606244642888
"2892",1669,12,1668,6.114065055,0.132536765864255,0.132536765864255,1.64811750330433
"2893",1669,1,1669,6.114065055,0.132536765864255,0.132536765864255,1.54571451179803
"2894",1669,2,1669,6.114065055,0.132536765864255,0.132536765864255,1.54163996844247
"2895",1669,3,1669,6.114065055,0.132536765864255,0.132536765864255,1.83981838644766
"2896",1669,4,1669,6.114065055,0.132536765864255,0.132536765864255,4.88465161869125
"2897",1669,5,1669,6.114065055,0.132536765864255,0.132536765864255,19.0420618255101
"2898",1669,6,1669,6.114065055,0.132536765864255,0.132536765864255,22.6223662665848
"2899",1669,7,1669,6.114065055,0.132536765864255,0.132536765864255,6.44831743481855
