"site_id","site_name","data","year","month","date","flow_m3s","thresh_m3s","norm","cum_loss"
10128500,"Weber River","observed",1980,12,1980-12-16,1.64055020900748,1.59815988231691,0.11263460343724,-37.2526164411446
10128500,"Weber River","observed",1981,1,1981-01-16,1.3984868429791,1.50645412506615,-0.376809497907985,-37.3605837232316
10128500,"Weber River","observed",1981,2,1981-02-14,1.39966127440457,1.50628925632801,-0.412810078581696,-37.4672117051551
10128500,"Weber River","observed",1981,3,1981-03-16,1.50810044269006,1.77675681057963,-0.602976215403106,-37.7358680730446
10128500,"Weber River","observed",1981,4,1981-04-15,5.408517699072,4.61661192999168,0.378197798620557,-36.9439623039643
10128500,"Weber River","observed",1981,5,1981-05-16,14.4351976352702,18.2142778613805,-0.662841082137523,-40.7230425300746
10128500,"Weber River","observed",1981,6,1981-06-15,20.779845924096,21.0351906127833,-0.0219438594062748,-40.9783872187619
10128500,"Weber River","observed",1981,7,1981-07-16,3.80724569662761,5.96922406140764,-0.71035789948247,-43.1403655835419
10128500,"Weber River","observed",1981,8,1981-08-16,2.180397187584,3.01037484486018,-0.857104983675912,-43.9703432408181
10128500,"Weber River","observed",1981,9,1981-09-15,1.6857962671104,2.25047291486478,-0.75131464239423,-44.5350198885725
10128500,"Weber River","observed",1981,10,1981-10-16,2.42611434026942,2.03516729135528,0.542734056315401,-44.1440728396583
10128500,"Weber River","observed",1981,11,1981-11-15,2.1181001250816,1.8258393503921,0.618393267348824,-43.8518120649688
10128500,"Weber River","observed",1981,12,1981-12-16,1.76751929533936,1.59815988231691,0.438825312476763,-43.6824526519464
10128500,"Weber River","observed",1982,1,1982-01-16,1.71727972880516,1.50645412506615,0.686835155699629,-43.4716270482074
10128500,"Weber River","observed",1982,2,1982-02-14,1.691931583872,1.50628925632801,0.674497500931759,-43.2859847206634
10128500,"Weber River","observed",1982,3,1982-03-16,2.00044819472516,1.77675681057963,0.457008016749505,-43.0622933365179
10128500,"Weber River","observed",1982,4,1982-04-15,4.950728679168,4.61661192999168,0.164459587094368,-42.7281765873416
10128500,"Weber River","observed",1982,5,1982-05-16,25.0914664205048,18.2142778613805,1.00128169166969,-35.8509880282172
10128500,"Weber River","observed",1982,6,1982-06-15,32.2915879586304,21.0351906127833,0.829853831386602,-24.5945906823701
10128500,"Weber River","observed",1982,7,1982-07-16,13.6012208308026,5.96922406140764,1.61265431748114,-16.9625939129752
10128500,"Weber River","observed",1982,8,1982-08-16,3.992675369472,3.01037484486018,0.829102883289827,-15.9802933883634
10128500,"Weber River","observed",1982,9,1982-09-15,4.1370912870912,2.25047291486478,1.84437926726281,-14.0936750161369
10128500,"Weber River","observed",1982,10,1982-10-16,5.72913747822658,2.03516729135528,3.74186723643842,-10.3997048292656
10128500,"Weber River","observed",1982,11,1982-11-15,2.9836517359104,1.8258393503921,2.17190771932266,-9.24189244374734
10128500,"Weber River","observed",1982,12,1982-12-16,2.35121171380026,1.59815988231691,1.76715908145826,-8.488840612264
10128500,"Weber River","observed",1983,1,1983-01-16,2.0214574680031,1.50645412506615,1.58590243936175,-7.97383726932705
10128500,"Weber River","observed",1983,2,1983-02-14,1.86790055912229,1.50628925632801,1.27003534918154,-7.61222596653277
10128500,"Weber River","observed",1983,3,1983-03-16,2.13655174769961,1.77675681057963,0.718690992309918,-7.25243102941279
10128500,"Weber River","observed",1983,4,1983-04-15,3.1639356592128,4.61661192999168,-0.827626104395936,-8.70510730019167
