"site_id","site_name","data","year","month","date","flow_m3s","thresh_m3s","norm"
"10128500","Weber River","CTN5",2002,10,2002-10-15,2.06736980273745,2.03516729135528,0.0472027358464132
"10128500","Weber River","CTN5",2002,11,2002-11-15,1.72133757970501,1.8258393503921,-0.237094564574795
"10128500","Weber River","CTN5",2002,12,2002-12-15,1.45315848056355,1.59815988231691,-0.401110133350771
"10128500","Weber River","CTN5",2003,1,2003-01-15,1.40772364789429,1.50645412506615,-0.343825536632384
"10128500","Weber River","CTN5",2003,2,2003-02-15,1.35737230774253,1.50628925632801,-0.582375084110261
"10128500","Weber River","CTN5",2003,3,2003-03-15,1.79362008264879,1.77675681057963,0.0357450694984736
"10128500","Weber River","CTN5",2003,4,2003-04-15,6.34892272209643,4.61661192999168,0.782394682377549
"10128500","Weber River","CTN5",2003,5,2003-05-15,15.0008491135321,18.2142778613805,-0.556682008819877
"10128500","Weber River","CTN5",2003,6,2003-06-15,5.84568769887051,21.0351906127833,-1.91047862258785
"10128500","Weber River","CTN5",2003,7,2003-07-15,3.01225953323972,5.96922406140764,-1.04354577865282
"10128500","Weber River","CTN5",2003,8,2003-08-15,2.7260917258484,3.01037484486018,-0.273149824158774
"10128500","Weber River","CTN5",2003,9,2003-09-15,2.02872839146857,2.25047291486478,-0.277869194789535
"10128500","Weber River","CTN5",2003,10,2003-10-15,1.54625030861915,2.03516729135528,-0.788112357795067
"10128500","Weber River","CTN5",2003,11,2003-11-15,1.44132800336277,1.8258393503921,-0.924314234402449
"10128500","Weber River","CTN5",2003,12,2003-12-15,1.4497172127418,1.59815988231691,-0.410949499548168
"10128500","Weber River","CTN5",2004,1,2004-01-15,1.30123045743814,1.50645412506615,-0.733349679380446
"10128500","Weber River","CTN5",2004,2,2004-02-15,1.22366683996271,1.50628925632801,-1.14313937776952
"10128500","Weber River","CTN5",2004,3,2004-03-15,3.34350833785888,1.77675681057963,2.66812123059739
"10128500","Weber River","CTN5",2004,4,2004-04-15,5.82247213305609,4.61661192999168,0.561388627054917
"10128500","Weber River","CTN5",2004,5,2004-05-15,10.1500458680941,18.2142778613805,-1.57850381691722
"10128500","Weber River","CTN5",2004,6,2004-06-15,3.18094340157242,21.0351906127833,-2.61279838501547
"10128500","Weber River","CTN5",2004,7,2004-07-15,2.74984646820385,5.96922406140764,-1.16722435589685
"10128500","Weber River","CTN5",2004,8,2004-08-15,2.34611425559757,3.01037484486018,-0.670145382614968
"10128500","Weber River","CTN5",2004,9,2004-09-15,1.75379879795703,2.25047291486478,-0.652534600378303
"10128500","Weber River","CTN5",2004,10,2004-10-15,1.86838457979748,2.03516729135528,-0.252838155887339
"10128500","Weber River","CTN5",2004,11,2004-11-15,2.36618263019365,1.8258393503921,1.10042765427596
"10128500","Weber River","CTN5",2004,12,2004-12-15,1.48096413235415,1.59815988231691,-0.322176761278119
"10128500","Weber River","CTN5",2005,1,2005-01-15,1.4610538248626,1.50645412506615,-0.156171135468588
"10128500","Weber River","CTN5",2005,2,2005-02-15,1.27202829295374,1.50628925632801,-0.93573574755586
"10128500","Weber River","CTN5",2005,3,2005-03-15,2.74402577685989,1.77675681057963,1.76967459930944
"10128500","Weber River","CTN5",2005,4,2005-04-15,8.52441227162352,4.61661192999168,1.58713801037244
"10128500","Weber River","CTN5",2005,5,2005-05-15,27.7517927280088,18.2142778613805,1.33985484201015
"10128500","Weber River","CTN5",2005,6,2005-06-15,22.2971351228897,21.0351906127833,0.105898593634412
"10128500","Weber River","CTN5",2005,7,2005-07-15,5.61841743076506,5.96922406140764,-0.101663616452645
